id,name,metadata/examine,metadata/id,metadata/members,metadata/lowalch,metadata/limit,metadata/value,metadata/highalch,metadata/icon,metadata/name,price/high,price/highTime,price/low,price/lowTime,price
10344,3rd age amulet,Fabulously ancient mage protection enchanted in the 3rd Age.,10344,true,20200,8,50500,30300,3rd age amulet.png,3rd age amulet,64876319,1760372962,60300001,1760366054,
20011,3rd age axe,"A beautifully crafted axe, shaped by ancient smiths.",20011,true,22000,40,55000,33000,3rd age axe.png,3rd age axe,500000000,1757807353,2147483647,1755056562,
12424,3rd age bow,A beautifully crafted bow carved by ancient archers.,12424,true,60000,8,150000,90000,3rd age bow.png,3rd age bow,1693500000,1760299786,1649555000,1760373885,
12437,3rd age cloak,A beautiful cloak woven by ancient tailors.,12437,true,34000,8,85000,51000,3rd age cloak.png,3rd age cloak,485000000,1760315095,476898989,1760240370,
23345,3rd age druidic cloak,A fabulously ancient vine cloak as worn by the druids of old.,23345,true,80000,8,200000,120000,3rd age druidic cloak.png,3rd age druidic cloak,1136999995,1760061899,1112889000,1760257349,
23339,3rd age druidic robe bottoms,A fabulously ancient woven robe as worn by the druids of old.,23339,true,80000,4,200000,120000,3rd age druidic robe bottoms.png,3rd age druidic robe bottoms,2147483646,1759753369,2147483645,1760156108,
23336,3rd age druidic robe top,A fabulously ancient woven robe top as worn by the druids of old.,23336,true,80000,4,200000,120000,3rd age druidic robe top.png,3rd age druidic robe top,2147483647,1713538969,2147483647,1747501519,
23342,3rd age druidic staff,A fabulously ancient gnarled staff as used by the druids of old.,23342,true,80000,8,200000,120000,3rd age druidic staff.png,3rd age druidic staff,691669420,1760285041,680000000,1760281533,
28226,3rd age felling axe,"A beautifully crafted axe, shaped by ancient smiths.",28226,true,22000,,55000,33000,3rd age felling axe.png,3rd age felling axe,2147483647,1754246416,2147483647,1758273303,
10350,3rd age full helmet,Fabulously ancient armour beaten from magical silver.,10350,true,36000,8,90000,54000,3rd age full helmet.png,3rd age full helmet,49999999,1760344521,50136135,1760371412,
10352,3rd age kiteshield,Fabulously ancient armour beaten from magical silver.,10352,true,72000,8,180000,108000,3rd age kiteshield.png,3rd age kiteshield,120844767,1760372785,115756456,1760366731,
12426,3rd age longsword,A beautifully crafted sword forged by ancient blacksmiths.,12426,true,60000,8,150000,90000,3rd age longsword.png,3rd age longsword,1743048201,1760298248,1724000002,1760330866,
10342,3rd age mage hat,Fabulously ancient mage protection enchanted in the 3rd Age.,10342,true,20160,8,50400,30240,3rd age mage hat.png,3rd age mage hat,21489000,1760366441,20300420,1760366353,
20014,3rd age pickaxe,"A beautifully crafted pickaxe, shaped by ancient smiths.",20014,true,39180,40,97950,58770,3rd age pickaxe.png,3rd age pickaxe,2147483647,1755567354,2147483647,1697321028,
10348,3rd age platebody,Fabulously ancient armour beaten from magical silver.,10348,true,80000,8,200000,120000,3rd age platebody.png,3rd age platebody,248789789,1760362025,250000000,1760372931,
10346,3rd age platelegs,Fabulously ancient armour beaten from magical silver.,10346,true,80000,8,200000,120000,3rd age platelegs.png,3rd age platelegs,136833000,1760372776,132249998,1760349678,
23242,3rd age plateskirt,Fabulously ancient armour beaten from magical silver.,23242,true,80000,8,200000,120000,3rd age plateskirt.png,3rd age plateskirt,53750000,1760362017,51985689,1760287488,
10334,3rd age range coif,Fabulously ancient range protection crafted from white dragonhide.,10334,true,20160,8,50400,30240,3rd age range coif.png,3rd age range coif,19772000,1760302499,18800000,1760373837,
10332,3rd age range legs,Fabulously ancient range protection crafted from white dragonhide.,10332,true,20240,8,50600,30360,3rd age range legs.png,3rd age range legs,27123999,1760370988,25805000,1760373841,
10330,3rd age range top,Fabulously ancient range protection crafted from white dragonhide.,10330,true,20320,8,50800,30480,3rd age range top.png,3rd age range top,43000000,1760334060,40429360,1760373847,
10340,3rd age robe,Fabulously ancient mage protection enchanted in the 3rd Age.,10340,true,20240,8,50600,30360,3rd age robe.png,3rd age robe,48500000,1760341551,46555000,1760366387,
10338,3rd age robe top,Fabulously ancient mage protection enchanted in the 3rd Age.,10338,true,20320,8,50800,30480,3rd age robe top.png,3rd age robe top,177000000,1760369732,173505000,1760366395,
10336,3rd age vambraces,Fabulously ancient range protection crafted from white dragonhide.,10336,true,20200,8,50500,30300,3rd age vambraces.png,3rd age vambraces,18423326,1760348038,18200420,1760370244,
12422,3rd age wand,A beautifully crafted wand infused by ancient wizards.,12422,true,60000,8,150000,90000,3rd age wand.png,3rd age wand,500000000,1760229361,510000006,1760228781,
10392,A powdered wig,A big do about nothing.,10392,true,800,4,2000,1200,A powdered wig.png,A powdered wig,24999,1760359154,7269,1760372079,
25775,Abyssal ashes,A heap of ashes.,25775,true,1,7500,1,1,Abyssal ashes.png,Abyssal ashes,1395,1760371218,1350,1760373639,
13263,Abyssal bludgeon,Elements of deceased Abyssal Sires have been fused together.,13263,true,104000,8,260000,156000,Abyssal bludgeon.png,Abyssal bludgeon,16232999,1760373672,16100000,1760373859,
11095,Abyssal bracelet(5),Makes using the Abyss just slightly safer.,11095,true,1680,10000,4200,2520,Abyssal bracelet.png,Abyssal bracelet(5),2238,1760371757,2187,1760373733,
13265,Abyssal dagger,Something sharp from the body of a defeated Abyssal Sire.,13265,true,46000,8,115001,69000,Abyssal dagger.png,Abyssal dagger,2814889,1760373459,2795000,1760373303,
13267,Abyssal dagger (p),Something sharp and poisonous from the body of a defeated Abyssal Sire.,13267,true,46000,8,115002,69001,Abyssal dagger (p).png,Abyssal dagger (p),2720025,1760291381,2660000,1760371661,
13269,Abyssal dagger (p+),Something sharp and very poisonous from the body of a defeated Abyssal Sire.,13269,true,46001,8,115003,69001,Abyssal dagger (p+).png,Abyssal dagger (p+),2750000,1760368029,2700000,1760367131,
13271,Abyssal dagger (p++),Something sharp and extremely poisonous from the body of a defeated Abyssal Sire.,13271,true,46001,8,115004,69002,Abyssal dagger (p++).png,Abyssal dagger (p++),2880000,1760373513,2850792,1760373666,
4151,Abyssal whip,A weapon from the Abyss.,4151,true,48000,70,120001,72000,Abyssal whip.png,Abyssal whip,1402082,1760373881,1368974,1760373817,
30682,Accumulation charm,"A magical, helpful charm.",30682,true,4000,,10000,6000,Accumulation charm.png,Accumulation charm,,,,,
