examine,id,metadata.examine,metadata.highalch,metadata.icon,metadata.id,metadata.limit,metadata.lowalch,metadata.members,metadata.name,metadata.value,name,price,price.high,price.highTime,price.low,price.lowTime,roi
Fabulously ancient mage protection enchanted in the 3rd Age.,10344,Fabulously ancient mage protection enchanted in the 3rd Age.,30300,3rd age amulet.png,10344,8,20200,True,3rd age amulet,50500,3rd age amulet,,66000000,1760553326,66000000,1760553326,0.0
"A beautifully crafted axe, shaped by ancient smiths.",20011,"A beautifully crafted axe, shaped by ancient smiths.",33000,3rd age axe.png,20011,40,22000,True,3rd age axe,55000,3rd age axe,,500000000,1757807353,2147483647,1755056562,-0.7671693562377101
A beautifully crafted bow carved by ancient archers.,12424,A beautifully crafted bow carved by ancient archers.,90000,3rd age bow.png,12424,8,60000,True,3rd age bow,150000,3rd age bow,,1684169420,1760512943,1639000021,1760562851,0.027559120452262643
A beautiful cloak woven by ancient tailors.,12437,A beautiful cloak woven by ancient tailors.,51000,3rd age cloak.png,12437,8,34000,True,3rd age cloak,85000,3rd age cloak,,482447555,1760537515,468000001,1760406868,0.030870841814378543
A fabulously ancient vine cloak as worn by the druids of old.,23345,A fabulously ancient vine cloak as worn by the druids of old.,120000,3rd age druidic cloak.png,23345,8,80000,True,3rd age druidic cloak,200000,3rd age druidic cloak,,1179998000,1760533409,1113335000,1760540440,0.059876856471771746
A fabulously ancient woven robe as worn by the druids of old.,23339,A fabulously ancient woven robe as worn by the druids of old.,120000,3rd age druidic robe bottoms.png,23339,4,80000,True,3rd age druidic robe bottoms,200000,3rd age druidic robe bottoms,,2147483647,1760561372,2147483645,1760156108,9.313225759165211e-10
A fabulously ancient woven robe top as worn by the druids of old.,23336,A fabulously ancient woven robe top as worn by the druids of old.,120000,3rd age druidic robe top.png,23336,4,80000,True,3rd age druidic robe top,200000,3rd age druidic robe top,,2147483647,1713538969,2147483647,1747501519,0.0
A fabulously ancient gnarled staff as used by the druids of old.,23342,A fabulously ancient gnarled staff as used by the druids of old.,120000,3rd age druidic staff.png,23342,8,80000,True,3rd age druidic staff,200000,3rd age druidic staff,,691669420,1760285041,680000000,1760281533,0.017160911764705883
"A beautifully crafted axe, shaped by ancient smiths.",28226,"A beautifully crafted axe, shaped by ancient smiths.",33000,3rd age felling axe.png,28226,,22000,True,3rd age felling axe,55000,3rd age felling axe,,2147483647,1754246416,2147483647,1758273303,0.0
Fabulously ancient armour beaten from magical silver.,10350,Fabulously ancient armour beaten from magical silver.,54000,3rd age full helmet.png,10350,8,36000,True,3rd age full helmet,90000,3rd age full helmet,,50749000,1760512060,47678121,1760559616,0.06440855754361628
Fabulously ancient armour beaten from magical silver.,10352,Fabulously ancient armour beaten from magical silver.,108000,3rd age kiteshield.png,10352,8,72000,True,3rd age kiteshield,180000,3rd age kiteshield,,118000000,1760508724,118696666,1760547041,-0.005869297120780124
A beautifully crafted sword forged by ancient blacksmiths.,12426,A beautifully crafted sword forged by ancient blacksmiths.,90000,3rd age longsword.png,12426,8,60000,True,3rd age longsword,150000,3rd age longsword,,1726999999,1760483129,1705000001,1760561188,0.012903224625863212
Fabulously ancient mage protection enchanted in the 3rd Age.,10342,Fabulously ancient mage protection enchanted in the 3rd Age.,30240,3rd age mage hat.png,10342,8,20160,True,3rd age mage hat,50400,3rd age mage hat,,20699875,1760561349,19251000,1760545494,0.07526232403511506
"A beautifully crafted pickaxe, shaped by ancient smiths.",20014,"A beautifully crafted pickaxe, shaped by ancient smiths.",58770,3rd age pickaxe.png,20014,40,39180,True,3rd age pickaxe,97950,3rd age pickaxe,,2147483647,1755567354,2147483647,1697321028,0.0
Fabulously ancient armour beaten from magical silver.,10348,Fabulously ancient armour beaten from magical silver.,120000,3rd age platebody.png,10348,8,80000,True,3rd age platebody,200000,3rd age platebody,,251676352,1760512641,245201004,1760494524,0.026408325799514264
Fabulously ancient armour beaten from magical silver.,10346,Fabulously ancient armour beaten from magical silver.,120000,3rd age platelegs.png,10346,8,80000,True,3rd age platelegs,200000,3rd age platelegs,,136999995,1760523983,132277777,1760553867,0.03569925430482552
Fabulously ancient armour beaten from magical silver.,23242,Fabulously ancient armour beaten from magical silver.,120000,3rd age plateskirt.png,23242,8,80000,True,3rd age plateskirt,200000,3rd age plateskirt,,55000000,1760561127,50301101,1760470416,0.0934154304097638
Fabulously ancient range protection crafted from white dragonhide.,10334,Fabulously ancient range protection crafted from white dragonhide.,30240,3rd age range coif.png,10334,8,20160,True,3rd age range coif,50400,3rd age range coif,,18540000,1760549852,18150420,1760537282,0.021463966123097977
Fabulously ancient range protection crafted from white dragonhide.,10332,Fabulously ancient range protection crafted from white dragonhide.,30360,3rd age range legs.png,10332,8,20240,True,3rd age range legs,50600,3rd age range legs,,25999999,1760549860,25378656,1760537256,0.024482896178584082
Fabulously ancient range protection crafted from white dragonhide.,10330,Fabulously ancient range protection crafted from white dragonhide.,30480,3rd age range top.png,10330,8,20320,True,3rd age range top,50800,3rd age range top,,39721814,1760549873,39701000,1760537254,0.0005242689101030201
Fabulously ancient mage protection enchanted in the 3rd Age.,10340,Fabulously ancient mage protection enchanted in the 3rd Age.,30360,3rd age robe.png,10340,8,20240,True,3rd age robe,50600,3rd age robe,,46649999,1760560561,45105000,1760552528,0.034253386542511914
Fabulously ancient mage protection enchanted in the 3rd Age.,10338,Fabulously ancient mage protection enchanted in the 3rd Age.,30480,3rd age robe top.png,10338,8,20320,True,3rd age robe top,50800,3rd age robe top,,175000000,1760562715,166345345,1760557822,0.05202823679857107
Fabulously ancient range protection crafted from white dragonhide.,10336,Fabulously ancient range protection crafted from white dragonhide.,30300,3rd age vambraces.png,10336,8,20200,True,3rd age vambraces,50500,3rd age vambraces,,18998000,1760560311,18000003,1760537275,0.055444268537066355
A beautifully crafted wand infused by ancient wizards.,12422,A beautifully crafted wand infused by ancient wizards.,90000,3rd age wand.png,12422,8,60000,True,3rd age wand,150000,3rd age wand,,475000000,1760382127,450000001,1760557424,0.05555555320987655
A big do about nothing.,10392,A big do about nothing.,1200,A powdered wig.png,10392,4,800,True,A powdered wig,2000,A powdered wig,,10183,1760542190,9000,1760562266,0.13144444444444445
A heap of ashes.,25775,A heap of ashes.,1,Abyssal ashes.png,25775,7500,1,True,Abyssal ashes,1,Abyssal ashes,,1286,1760563163,1286,1760563162,0.0
Elements of deceased Abyssal Sires have been fused together.,13263,Elements of deceased Abyssal Sires have been fused together.,156000,Abyssal bludgeon.png,13263,8,104000,True,Abyssal bludgeon,260000,Abyssal bludgeon,,15900000,1760562956,15846991,1760563457,0.0033450514359476824
Makes using the Abyss just slightly safer.,11095,Makes using the Abyss just slightly safer.,2520,Abyssal bracelet.png,11095,10000,1680,True,Abyssal bracelet(5),4200,Abyssal bracelet(5),,2175,1760558694,2175,1760562121,0.0
Something sharp from the body of a defeated Abyssal Sire.,13265,Something sharp from the body of a defeated Abyssal Sire.,69000,Abyssal dagger.png,13265,8,46000,True,Abyssal dagger,115001,Abyssal dagger,,2684492,1760563058,2674000,1760562837,0.0039237097980553476
Something sharp and poisonous from the body of a defeated Abyssal Sire.,13267,Something sharp and poisonous from the body of a defeated Abyssal Sire.,69001,Abyssal dagger (p).png,13267,8,46000,True,Abyssal dagger (p),115002,Abyssal dagger (p),,3500000,1760556187,2665000,1760553962,0.3133208255159475
Something sharp and very poisonous from the body of a defeated Abyssal Sire.,13269,Something sharp and very poisonous from the body of a defeated Abyssal Sire.,69001,Abyssal dagger (p+).png,13269,8,46001,True,Abyssal dagger (p+),115003,Abyssal dagger (p+),,2984782,1760557661,2709257,1760556015,0.1016976241087501
Something sharp and extremely poisonous from the body of a defeated Abyssal Sire.,13271,Something sharp and extremely poisonous from the body of a defeated Abyssal Sire.,69002,Abyssal dagger (p++).png,13271,8,46001,True,Abyssal dagger (p++),115004,Abyssal dagger (p++),,2764279,1760563331,2691256,1760562577,0.02713342766351473
A weapon from the Abyss.,4151,A weapon from the Abyss.,72000,Abyssal whip.png,4151,70,48000,True,Abyssal whip,120001,Abyssal whip,,1403749,1760563436,1367327,1760563481,0.026637373503192726
"A magical, helpful charm.",30682,"A magical, helpful charm.",6000,Accumulation charm.png,30682,,4000,True,Accumulation charm,10000,Accumulation charm,,,,,,
A mighty sceptre used in long forgotten battles.,27676,A mighty sceptre used in long forgotten battles.,1,Accursed sceptre (au).png,27676,8,1,True,Accursed sceptre (au),1,Accursed sceptre (au),,4800000,1760563121,4752072,1760563375,0.010085705772134766
"A mighty sceptre from long forgotten battles, corrupted by the power of Vet'ion.",27662,"A mighty sceptre from long forgotten battles, corrupted by the power of Vet'ion.",1,Accursed sceptre (u).png,27662,,1,True,Accursed sceptre (u),1,Accursed sceptre (u),,4911387,1760563265,4900000,1760563462,0.0023238775510204084
These logs are longer than normal.,2862,These logs are longer than normal.,2,Achey tree logs.png,2862,13000,1,True,Achey tree logs,4,Achey tree logs,,265,1760562854,100,1760562149,1.65
Plant this in a plantpot of soil to grow a sapling.,5312,Plant this in a plantpot of soil to grow a sapling.,3,Acorn 5.png,5312,200,2,True,Acorn,6,Acorn,,73,1760563116,65,1760563488,0.12307692307692308
A two handed sword.,1317,A two handed sword.,3840,Adamant 2h sword.png,1317,125,2560,False,Adamant 2h sword,6400,Adamant 2h sword,,3530,1760563391,3358,1760563423,0.05122096486003574
Arrows with adamant heads.,890,Arrows with adamant heads.,48,Adamant arrow 5.png,890,11000,32,False,Adamant arrow,80,Adamant arrow,,37,1760563474,36,1760563474,0.027777777777777776
Venomous-looking arrows.,891,Venomous-looking arrows.,48,Adamant arrow(p) 5.png,891,11000,32,True,Adamant arrow(p),80,Adamant arrow(p),,164,1760561863,13,1760561872,11.615384615384615
Venomous-looking arrows.,5620,Venomous-looking arrows.,48,Adamant arrow(p+) 5.png,5620,11000,32,True,Adamant arrow(p+),80,Adamant arrow(p+),,373,1760556893,131,1760458573,1.8473282442748091
Venomous-looking arrows.,5626,Venomous-looking arrows.,48,Adamant arrow(p++) 5.png,5626,11000,32,True,Adamant arrow(p++),80,Adamant arrow(p++),,32,1760562789,30,1760562792,0.06666666666666667
I can make some arrows with these.,43,I can make some arrows with these.,24,Adamant arrowtips.png,43,10000,16,True,Adamant arrowtips,40,Adamant arrowtips,,116,1760563424,113,1760563471,0.02654867256637168
A powerful axe.,1357,A powerful axe.,768,Adamant axe.png,1357,40,512,False,Adamant axe,1280,Adamant axe,,418,1760563429,387,1760563483,0.08010335917312661
A vicious looking axe.,1371,A vicious looking axe.,2496,Adamant battleaxe.png,1371,125,1664,False,Adamant battleaxe,4160,Adamant battleaxe,,2133,1760563142,2096,1760563433,0.017652671755725192
Adamantite crossbow bolts.,9143,Adamantite crossbow bolts.,34,Adamant bolts 5.png,9143,11000,23,True,Adamant bolts,58,Adamant bolts,,184,1760563473,180,1760563340,0.022222222222222223
Some poisoned adamantite bolts.,9290,Some poisoned adamantite bolts.,34,Adamant bolts (p) 5.png,9290,11000,23,True,Adamant bolts (p),58,Adamant bolts (p),,200,1760557577,317,1760512389,-0.36908517350157727
Some poisoned adamantite bolts.,9297,Some poisoned adamantite bolts.,34,Adamant bolts (p+) 5.png,9297,11000,23,True,Adamant bolts (p+),58,Adamant bolts (p+),,558,1760338351,585,1760563447,-0.046153846153846156
Super poisoned adamantite bolts.,9304,Super poisoned adamantite bolts.,34,Adamant bolts (p++) 5.png,9304,11000,23,True,Adamant bolts (p++),58,Adamant bolts (p++),,1069,1760448622,1243,1760509271,-0.13998390989541432
Unfeathered adamantite crossbow bolts.,9380,Unfeathered adamantite crossbow bolts.,1,Adamant bolts(unf) 5.png,9380,13000,1,True,Adamant bolts(unf),1,Adamant bolts(unf),,183,1760562011,181,1760563256,0.011049723756906077
These will protect my feet.,4129,These will protect my feet.,1152,Adamant boots.png,4129,125,768,True,Adamant boots,1920,Adamant boots,,1284,1760563431,1043,1760563429,0.23106423777564716
Blunt adamantite arrow... ouch.,4798,Blunt adamantite arrow... ouch.,57,Adamant brutal 5.png,4798,11000,38,True,Adamant brutal,95,Adamant brutal,,300,1760562315,299,1760562557,0.0033444816053511705
A diamond topped cane.,12377,A diamond topped cane.,864,Adamant cane.png,12377,4,576,True,Adamant cane,1440,Adamant cane,,2320,1760550928,2000,1760558777,0.16
A series of connected metal rings.,1111,A series of connected metal rings.,2880,Adamant chainbody.png,1111,125,1920,False,Adamant chainbody,4800,Adamant chainbody,,2504,1760563366,2500,1760563457,0.0016
A set of fighting claws.,3100,A set of fighting claws.,720,Adamant claws.png,3100,125,480,True,Adamant claws,1200,Adamant claws,,1272,1760560754,1642,1760343300,-0.22533495736906212
An adamantite crossbow.,9183,An adamantite crossbow.,1060,Adamant crossbow.png,9183,70,706,True,Adamant crossbow,1767,Adamant crossbow,,2803,1760560733,2788,1760563433,0.005380200860832138
An unstrung adamantite crossbow.,9463,An unstrung adamantite crossbow.,1039,Adamant crossbow (u).png,9463,10000,693,True,Adamant crossbow (u),1733,Adamant crossbow (u),,1092,1760442827,1445,1760562607,-0.24429065743944636
Short and deadly.,1211,Short and deadly.,480,Adamant dagger.png,1211,125,320,False,Adamant dagger,800,Adamant dagger,,228,1760563437,205,1760563318,0.11219512195121951
A very dangerous poisoned dagger.,1227,A very dangerous poisoned dagger.,480,Adamant dagger(p).png,1227,125,320,True,Adamant dagger(p),800,Adamant dagger(p),,360,1760497489,90,1760291896,3.0
A very dangerous poisoned dagger.,5676,A very dangerous poisoned dagger.,480,Adamant dagger(p+).png,5676,125,320,True,Adamant dagger(p+),800,Adamant dagger(p+),,1909,1759727634,2319,1757033682,-0.17680034497628289
A very dangerous poisoned dagger.,5694,A very dangerous poisoned dagger.,480,Adamant dagger(p++).png,5694,125,320,True,Adamant dagger(p++),800,Adamant dagger(p++),,3276,1760400583,5611,1760292362,-0.4161468543931563
A deadly throwing dart with an adamant tip.,810,A deadly throwing dart with an adamant tip.,39,Adamant dart.png,810,11000,26,True,Adamant dart,65,Adamant dart,,53,1760563461,50,1760563134,0.06
A deadly-looking dart tip made of adamant - needs feathers for flight.,823,A deadly-looking dart tip made of adamant - needs feathers for flight.,21,Adamant dart tip.png,823,20000,14,True,Adamant dart tip,36,Adamant dart tip,,193,1760563487,190,1760562781,0.015789473684210527
A deadly poisoned dart with an adamant tip.,816,A deadly poisoned dart with an adamant tip.,39,Adamant dart(p).png,816,11000,26,True,Adamant dart(p),65,Adamant dart(p),,52,1760562142,53,1760563320,-0.018867924528301886
